292,16,10103,66,118,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,112,56,87,5,85,8,1484,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1270,7,10104,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1079,343,13,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2995,10,107,385,84,314,126,12,2,6822,61,200,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,570,10105,10106,65,10107,5303,9,2,153,5304,2996,12,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3326,10108,9,2,293,34,99,81,109,7,26,2318,4,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,237,18,2502,3766,507,7,15,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,83,75,43,1,22,2997,3327,2,3767,34,6823,2503,11,162,121,74,32,3,690,4,298,0,0,0,0,0,0,0,0,0
54,54,35,2,274,43,749,119,1112,2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10110,7,512,10111,896,12,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,36,1,315,116,17,306,3,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,578,50,2,4362,10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,78,63,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,208,1,5306,6824,75,61,1485,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,97,183,9,2,621,316,145,4,3328,3,319,230,6825,66,114,16,1551,12,6,106,184,38,280,10114,0,0,0,0,0,0
